"Topic","Title","Title_kr","URL","Categories","Session_Description","Session_Description_kr","Learning_Objectives","Lab_Modules","Technologies_Used","Prerequisites"
"Building a domain-specific AI agent for pizza ordering using Microsoft Foundry Agent Service with RAG, tool calling, and MCP integrations","LAB571: Build a Pizza Ordering Agent with Microsoft Foundry and MCP","LAB571: Microsoft Foundry 및 MCP로 피자 주문 에이전트 구축","https://github.com/microsoft/ignite25-LAB571-build-a-pizza-ordering-agent-with-microsoft-foundry-and-mcp","AI;Azure;Agent;Copilot;Data","In this hands-on workshop, you’ll learn to build domain-specific AI agents with Foundry Agent Service. Starting from a simple agent, you’ll add system prompts, custom instructions, and knowledge with RAG. You’ll extend it with tool calling (like a pizza calculator) and connect external services via MCP for live menu and order handling. By the end, you’ll have a working Contoso PizzaBot that can answer questions, recommend pizzas, and manage orders.","이 실습형 워크숍에서는 Foundry Agent Service를 사용하여 도메인 특화 AI 에이전트를 구축하는 방법을 학습합니다. 간단한 에이전트에서 시작하여 시스템 프롬프트, 사용자 지정 지침, RAG를 통한 지식 추가를 단계적으로 적용합니다. 또한 피자 계산기와 같은 도구 호출을 추가하고, MCP를 통해 외부 서비스와 연결하여 실시간 메뉴 및 주문 처리를 구현합니다. 세션이 끝나면 질문에 답변하고 피자를 추천하며 주문을 관리할 수 있는 Contoso PizzaBot을 완성하게 됩니다.","Get hands-on experience with Microsoft Foundry; Build intelligent agents step by step; Understand practical use cases for system prompts, RAG, tool calling, and MCP","Build a simple agent; Add system prompts and custom instructions; Add knowledge using RAG; Implement tool calling (pizza calculator); Connect external services via MCP for live menu and order handling; Finalize Contoso PizzaBot (Q&A, recommendations, order management)","Microsoft Foundry; Foundry Agent Service; MCP; RAG; Visual Studio Code; Python",""
"Working with multimodal healthcare AI models from setup to deployment, agentic integration, and evaluation","LAB596: Working with healthcare AI models: from set-up to use-case","LAB596: 헬스케어 AI 모델 활용: 설정부터 사용 사례까지","https://github.com/microsoft/ignite25-LAB596-working-with-healthcare-ai-models-from-set-up-to-use-case","AI;Azure;Healthcare;Machine Learning;Agent","Take a motivational tour through the healthcare AI sample repository and set yourself up for success with multimodal AI for Health & Life Sciences. Dive into notebooks and sample solutions for problems like image search, cancer grading based on radiology and pathology images, outlier detection, and exam parameter classification. Deploy a model, plug it into an agentic flow, and evaluate it with human feedback. A hands-on journey from setup to deployment and refinement.","헬스케어 AI 샘플 리포지토리를 살펴보며 Health & Life Sciences를 위한 멀티모달 AI를 성공적으로 활용할 수 있도록 준비합니다. 이미지 검색, 방사선/병리 이미지 기반 암 등급 분류, 이상치 탐지, 검사 파라미터 분류와 같은 문제를 다루는 노트북과 샘플 솔루션을 탐색합니다. 모델을 배포하고 이를 agentic flow에 연결한 뒤, 사람의 피드백을 통해 평가합니다. 설정부터 배포 및 개선까지를 직접 수행하는 실습 중심 여정입니다.","Deploy and evaluate a multimodal healthcare AI model; explore healthcare foundation model use-cases; understand best practices for operational AI in healthcare.","Motivational tour of the healthcare AI sample repository; Notebooks and sample solutions (image search, cancer grading from radiology/pathology images, outlier detection, exam parameter classification); Model deployment; Integrate the model into an agentic flow; Evaluation with human feedback; Refinement.","AzureML; Healthcare AI Models; Python; Python Tools",""
"Agentic AI in healthcare using multi-agent orchestration integrated into Microsoft 365","LAB598: Agentic AI in Healthcare: Multi-Agent Orchestration in Action","LAB598: 헬스케어에서의 Agentic AI: 멀티 에이전트 오케스트레이션 실전 적용","https://github.com/microsoft/ignite25-LAB598-agentic-ai-in-healthcare-multi-agent-orchestration-in-action","AI;Healthcare;Agent;Microsoft 365;Azure","Explore the power of agentic frameworks to streamline healthcare operations. Using Healthcare Agent Orchestrator, you can customize intelligent agents, integrate them with private datasets and public sources, and deploy them into Microsoft 365 tools like Teams and Word. Learn how healthcare-specific agents can be enhanced with general reasoning models and multimodal healthcare foundation models to handle sophisticated clinical tasks with precision and efficiency.","Agentic framework의 역량을 활용하여 헬스케어 운영을 효율화하는 방법을 살펴봅니다. Healthcare Agent Orchestrator를 통해 지능형 에이전트를 맞춤 구성하고, 비공개 데이터셋과 공개 소스를 통합한 뒤, Teams 및 Word와 같은 Microsoft 365 도구에 원활하게 배포할 수 있습니다. 또한 일반 추론 모델과 멀티모달 헬스케어 파운데이션 모델로 강화된 헬스케어 특화 에이전트가 정밀성과 효율성을 바탕으로 고도화된 임상 업무를 처리하는 방식을 학습합니다.","Deploy Healthcare Agent Orchestrator in Microsoft Teams; update an existing agent in Healthcare Agent Orchestrator; add a new agent to Healthcare Agent Orchestrator.","Deploy Healthcare Agent Orchestrator in MS Teams; Update existing agent in Healthcare Agent Orchestrator; Add new agent to Healthcare Agent Orchestrator.","Semantic Kernel; Bot Framework SDK (Python); AI Foundry; Microsoft Teams; Microsoft 365",""
"Observability, governance, and scaling of agentic AI applications on Azure using Azure AI Foundry","Learn how to observe, manage, and scale agentic AI apps using Azure","Azure를 사용하여 에이전틱 AI 앱을 관찰, 관리 및 확장하는 방법 알아보기","https://github.com/microsoft/ignite25-PREL13-observe-manage-and-scale-agentic-ai-apps-with-microsoft-foundry","AI;Azure;Agent;Governance;Analytics","This hands-on workshop teaches participants how to manage, govern, and scale agentic AI applications using Azure and Azure AI Foundry. It covers observability capabilities, model management policies, agent functionalities, and governance strategies. Participants complete practical exercises to apply these concepts in real-world scenarios.","이 실습형 워크숍은 Azure 및 Azure AI Foundry를 사용하여 에이전틱 AI 애플리케이션을 효과적으로 관리, 거버넌스 적용 및 확장하는 역량을 제공합니다. 관찰 가능성(Observability) 기능, 모델 관리 정책, 에이전트 기능, 거버넌스 전략을 다룹니다. 참가자는 실무 시나리오 기반의 실습을 통해 이러한 개념을 실제 환경에 적용합니다.","Build and deploy an agentic AI retail chatbot on Azure AI Foundry; evaluate quality, safety, and agentic efficacy; fine-tune the model to customize tone and style; distill behavior to a smaller model for cost-effective operation; trace and monitor operations to detect and debug performance issues; understand end-to-end observability in Azure AI Foundry.","Application scenario: Zava retail shopping assistant (Cora); Build and deploy an agentic AI retail chatbot; Evaluate quality, safety, and agentic efficacy; Fine-tune model for custom tone & style; Distill to a smaller model for cost-effective operation; Trace and monitor with end-to-end observability to detect/debug issues.","Azure AI Foundry; Azure AI Agent Service; Azure AI Search; Azure AI Evaluation SDK; Azure Application Insights; Microsoft Agent Framework; OpenTelemetry",""
"Modernizing containerized applications with AI on Azure using Azure Container Apps, Azure OpenAI, and GPU-enabled inferencing","AI-Ready Apps: Containerize and Modernize with Azure","AI-Ready Apps: Azure로 컨테이너화 및 현대화","https://github.com/microsoft/ignite25-PREL15-ai-ready-apps-containerize-and-modernize-with-azure","AI;Azure;DevOps;Security;Agent","This hands-on lab shows how to modernize containerized applications with AI on Azure by deploying AI-powered apps to Azure Container Apps. Participants will integrate Azure OpenAI and run open-source models (via Ollama) on serverless GPUs for cost-efficient inferencing. The lab also covers executing untrusted code safely using dynamic sessions, building AI agents with MCP and Goose, and applying enterprise security and compliance practices.","이 실습 랩에서는 Azure Container Apps에 AI 기반 애플리케이션을 배포하여 Azure에서 컨테이너화된 애플리케이션을 AI와 함께 현대화하는 방법을 다룹니다. 참가자는 Azure OpenAI를 통합하고 서버리스 GPU에서 오픈 소스 모델(Ollama)을 실행하여 비용 효율적인 추론을 구현합니다. 또한 Dynamic Sessions를 활용한 비신뢰 코드의 안전한 실행, MCP 및 Goose를 활용한 AI 에이전트 구축, 엔터프라이즈 보안 및 컴플라이언스 적용을 학습합니다.","Deploy containerized AI applications to Azure Container Apps with GPU support; integrate Azure OpenAI (GPT models) using LangChain; run open-source LLMs with Ollama on GPU-enabled containers; configure dynamic sessions/session pools to execute untrusted Python code safely; build AI agents using MCP and Goose; optimize cost-efficient AI inferencing with GPU-based compute; apply enterprise security and compliance practices; use modern development practices including containerization and Infrastructure as Code (IaC).","AI & GPU Playbook; Environment Setup; Azure OpenAI Deployment; Ollama & Open-Source Models; Dynamic Sessions; MCP Shell Integration; Goose AI Agent; LangChain Integration; Testing & Deployment","Azure Container Apps; Azure Container Apps Dynamic Sessions; Azure OpenAI Service; GPT-3.5; GPT-4; Ollama; open-source LLMs (Llama, Mistral, Phi); serverless GPUs/GPU acceleration; LangChain; MCP (Model Context Protocol); Goose AI Agent; Python; FastAPI; Docker; Azure CLI; MkDocs","Azure subscription with appropriate permissions; Azure CLI installed and configured; WSL2 or Linux environment; Python 3.12+; VS Code or preferred IDE"
"Implementing persistent semantic memory for multi-agent applications using an MCP Server with Azure Cosmos DB","PREL16: Preday: Implement Semantic Memories for Multi-Agent Apps in Microsoft Foundry with an MCP Server for Azure Cosmos DB","PREL16: 사전 워크숍: Azure Cosmos DB용 MCP Server를 사용하여 Microsoft Foundry에서 멀티 에이전트 앱을 위한 시맨틱 메모리 구현","https://github.com/microsoft/ignite25-PREL16-semantic-memory-for-multi-agent-apps-in-microsoft-foundry-with-cosmos-db","AI;Azure;Agent;Data;Analytics","This hands-on workshop teaches you how to build intelligent multi-agent applications with persistent semantic memory using an MCP Server on Azure Cosmos DB. You will explore patterns for embedding and retrieving context across threads, and implement durable memory, semantic search, and agent collaboration using LangGraph (Python) and Azure AI Foundry. Participants will leave with a scalable system design that can learn and adapt over time.","이 실습형 워크숍에서는 Azure Cosmos DB에서 MCP Server를 사용하여 지속적인 시맨틱 메모리를 갖춘 지능형 멀티 에이전트 애플리케이션을 구축하는 방법을 학습합니다. 스레드 전반에서 컨텍스트를 임베딩하고 검색하는 패턴을 살펴보고, LangGraph(Python)와 Azure AI Foundry를 사용해 내구성 있는 메모리, 시맨틱 검색, 에이전트 협업을 구현합니다. 참가자는 시간이 지남에 따라 학습하고 적응할 수 있는 확장 가능한 시스템 설계를 갖추게 됩니다.","Design and implement multi-agent architectures in LangGraph; enable agent-to-agent handoffs and state management; build production-ready persistent agentic memory in Azure Cosmos DB (declarative/procedural/episodic) with salience and TTL; implement LLM-based preference extraction and conflict resolution; configure vector search and hybrid retrieval (vector + BM25); add automatic conversation summarization and memory consolidation; integrate observability with LangSmith tracing; design MCP server tool distribution and external API integration patterns; apply production patterns for error handling, session/state persistence, and cost-aware agentic AI best practices.","Exercises: LangGraph (Python) step-by-step workshop (01_exercises/workshop/Home.md); Completed Files: LangGraph (Python) demo application (travel multi-agent workshop README)","Azure Cosmos DB (Vector Search, Full Text Search, Hybrid Search, Agentic Memory); Azure OpenAI Service; Azure AI Foundry; LangGraph (Python); LangSmith; Model Control Protocol (MCP) Server","During Ignite, a virtual environment is provided with all prerequisites and accounts. Outside Ignite, follow the exercises step by step or use the provided completed files to run the multi-agent travel assistant application."
"Securely deploying and managing AI applications across hybrid environments for IT professionals","PREL19: An IT Pro's guide to Deploying and managing AI applications","PREL19: IT 전문가를 위한 AI 애플리케이션 배포 및 관리 가이드","https://github.com/microsoft/ignite25-PREL19-an-it-pros-guide-to-deploying-and-managing-ai-applications","AI;Azure;Security;Governance;DevOps","Learn how to securely deploy and manage AI apps across hybrid environments. This workshop walks through identity, networking, key vaults, monitoring, and AI-specific controls like prompt shields and data labeling. It is designed for IT pros modernizing infrastructure and explains how each layer contributes to a secure, reliable AI solution ready for real-world workloads.","하이브리드 환경 전반에서 AI 앱을 안전하게 배포하고 관리하는 방법을 학습합니다. 이 워크숍에서는 ID, 네트워킹, Key Vault, 모니터링과 함께 프롬프트 실드 및 데이터 라벨링과 같은 AI 특화 제어를 다룹니다. 인프라를 현대화하는 IT 전문가를 대상으로, 각 계층이 실제 워크로드에 대비한 안전하고 신뢰할 수 있는 AI 솔루션에 어떻게 기여하는지 설명합니다.","Securely deploy and manage AI applications in hybrid environments; apply identity and networking controls; use key vaults for secrets management; implement monitoring for AI workloads; understand and apply AI-specific controls such as prompt shields and data labeling.","","Microsoft Learn MCP Server; GitHub Copilot; VS Code",""
"Using Azure Copilot and AI-driven operations to improve observability and optimize cost and carbon footprint in Azure","LAB500: Drive observability & optimization with Azure Copilot","LAB500: Azure Copilot으로 관측 가능성과 최적화를 추진하기","https://github.com/microsoft/ignite25-LAB500-drive-observability-and-optimization-with-azure-copilot","AI;Azure;Analytics;Governance;Sustainability","Discover how AI is transforming cloud operations in Azure. In this lab, you'll use AI to investigate anomalies, correlate telemetry, and strengthen your monitoring posture. Using Copilot's new agentic optimization capabilities, you'll identify and validate cost and carbon savings opportunities while advancing FinOps and sustainability practices. These capabilities help align workload health, streamline operations, and deliver lasting efficiency and sustainability.","AI가 Azure에서 클라우드 운영을 어떻게 변화시키는지 살펴봅니다. 이 랩에서는 AI를 사용하여 이상 징후를 조사하고, 텔레메트리를 상관 분석하며, 모니터링 태세를 강화합니다. Copilot의 새로운 agentic 최적화 기능을 활용해 비용 및 탄소 절감 기회를 식별하고 검증하면서 FinOps와 지속 가능성 실천을 발전시킵니다. 이러한 기능을 통해 워크로드 상태를 정렬하고 운영을 간소화하여 지속적인 효율성과 지속 가능성을 달성할 수 있습니다.","Detect and troubleshoot critical application failures using unified observability; improve monitoring posture with Service Groups; understand optimization posture via cost, carbon footprint, and optimization recommendations; analyze carbon footprint drivers across cloud resources; optimize cost and carbon footprint using Azure Copilot agentic optimization capabilities.","Session Description; Learning Outcomes; Technology Used; Resources and Next Steps","Microsoft Copilot; Azure Copilot; Operations Center (OpsCenter) Optimization blade; Optimization Agent; unified observability; telemetry; Service Groups",""
"Modernizing and migrating a legacy Spring Boot application to Azure Kubernetes Service (AKS) Automatic using GitHub Copilot and passwordless authentication patterns","LAB502: Migrate to AKS Automatic with GitHub Copilot for App Modernization","LAB502: GitHub Copilot을 활용한 앱 현대화를 통해 AKS Automatic으로 마이그레이션","https://github.com/microsoft/ignite25-LAB502-migrate-to-aks-automatic-with-github-copilot-for-app-modernization","Azure;Kubernetes;AI;Migration;Security","Learn how to modernize and migrate a legacy Spring Boot application to Azure Kubernetes Service (AKS) Automatic using AI-powered tools. This hands-on lab walks through the journey from local development to cloud deployment, using GitHub Copilot for app modernization to assess code, implement secure authentication patterns, and automate containerization. Participants migrate from password-based authentication to Entra ID with workload identity and deploy to AKS Automatic with built-in security and operational best practices.","AI 기반 도구를 사용하여 레거시 Spring Boot 애플리케이션을 Azure Kubernetes Service(AKS) Automatic으로 현대화하고 마이그레이션하는 방법을 학습합니다. 이 실습 랩에서는 로컬 개발부터 클라우드 배포까지의 전체 과정을 다루며, GitHub Copilot for app modernization을 활용해 코드를 평가하고 안전한 인증 패턴을 구현하며 컨테이너화를 자동화합니다. 참가자는 비밀번호 기반 인증에서 Entra ID와 workload identity를 사용하는 방식으로 전환하고, 기본 제공 보안 및 운영 모범 사례가 적용된 AKS Automatic에 배포합니다.","Assess Spring Boot applications for cloud readiness with GitHub Copilot app modernization; migrate from self-hosted PostgreSQL to Azure Database for PostgreSQL Flexible Server with Entra ID authentication; implement passwordless authentication using Azure Workload Identity and Azure Service Connector; generate Docker and Kubernetes manifests using AI-powered containerization tools; deploy to AKS Automatic with security and monitoring best practices.","Session Description; Learning Outcomes; Technologies Used; Microsoft Learn MCP Server; Resources and Next Steps","Azure Kubernetes Service (AKS) Automatic; GitHub Copilot App Modernization; Azure Database for PostgreSQL Flexible Server; Microsoft Entra ID; Azure Workload Identity; Azure Service Connector; Containerization Assist MCP Server; Spring Boot PetClinic; Microsoft Learn MCP Server; Docker; Kubernetes",""
"End-to-end hands-on lab for deploying, migrating, and modernizing workloads with Azure VMware Solution (AVS)","LAB503: AVS from Migration and Optimization to Modernization","LAB503: 마이그레이션 및 최적화에서 현대화까지의 AVS","https://github.com/microsoft/ignite25-LAB503-avs-from-migration-and-optimization-to-modernization","Azure;Migration;Data;Governance;Security","Participants complete an end-to-end, real-world hands-on lab for Azure VMware Solution (AVS) deployment and modernization using click-through AVS labs. The lab spans six modules covering the journey from discovery and deployment to migration, connectivity, storage expansion, and modernization. The first three modules are mandatory, with additional optional modules for advanced scenarios.","참가자는 클릭스루 방식의 AVS 랩을 활용하여 Azure VMware Solution(AVS) 배포 및 현대화 워크플로를 엔드투엔드로 수행하는 실습형 랩에 참여합니다. 이 랩은 디스커버리와 배포부터 마이그레이션, 연결, 스토리지 확장, 현대화까지의 여정을 다루는 6개 모듈로 구성됩니다. 처음 3개 모듈은 필수이며, 이후 모듈은 고급 시나리오를 위한 선택 과정입니다.","- Deploy and configure an AVS private cloud and manage the VMware vSphere environment via Azure Portal - Migrate VMs from on-premises to AVS using VMware HCX - Modernize applications on AVS by moving SQL to Azure SQL Managed Instance - Establish secure connectivity and controlled internet access (e.g., ExpressRoute/VPN, Azure Virtual WAN; optional module mentions Azure Route Server and Azure Firewall) - Expand AVS storage using Azure NetApp Files or Azure Elastic SAN - Onboard AVS and migrated VMs to Azure Arc for monitoring, policy, and governance","Core (mandatory): 1) Deploy AVS private cloud and manage VMware vSphere via Azure Portal 2) VM migration using VMware HCX (on-prem to AVS) 3) Modernize by moving SQL to Azure SQL Managed Instance Optional: 1) Private connectivity & internet access (Azure Route Server, Azure Firewall) 2) Expand AVS storage with Azure NetApp Files or Elastic SAN 3) Azure Arc management of AVS & VMs (onboard private cloud and migrated VMs)","Azure VMware Solution (AVS);VMware vSphere;VMware HCX (VCF Operations HCX 9.0);Azure SQL Managed Instance;Azure Arc;Azure Route Server;Azure Firewall;Azure NetApp Files;Azure Elastic SAN;ExpressRoute;VPN;Azure Virtual WAN;Azure Portal",""
"Using Azure Arc to connect, secure, govern, and manage hybrid, multicloud, and edge environments","LAB504: Connect, secure and manage hybrid, multicloud and edge with Azure Arc","LAB504: Azure Arc로 하이브리드, 멀티클라우드 및 엣지를 연결하고 보안 강화 및 관리하기","https://github.com/microsoft/ignite25-LAB504-connect-secure-and-manage-hybrid-multicloud-and-edge-with-azure-arc","Azure;Security;Governance;Hybrid;Monitoring","Hybrid and multicloud environments introduce complexity in connectivity, governance, and security. This hands-on lab shows how Azure Arc simplifies management across diverse infrastructures. You’ll gain practical experience onboarding resources, enabling monitoring, enforcing compliance, and strengthening security—whether workloads run on-premises, in other clouds, or at the edge.","하이브리드 및 멀티클라우드 환경은 연결, 거버넌스, 보안 측면에서 복잡성을 증가시킵니다. 이 실습형 랩에서는 Azure Arc가 다양한 인프라 전반의 관리를 어떻게 단순화하는지 보여줍니다. 온프레미스, 다른 클라우드 또는 엣지에서 실행되는 워크로드를 대상으로 리소스 온보딩, 모니터링 활성화, 규정 준수 적용, 보안 강화에 대한 실무 경험을 얻습니다.","Onboard Windows virtual machines to Azure Arc and verify connectivity; configure monitoring for Arc-enabled servers using Azure Monitor Agent and VM Insights; apply governance and compliance controls with Machine Configuration policies; strengthen security posture using Microsoft Defender for Cloud recommendations; enable auto-upgrade for the Azure Arc agent.","Onboard Windows virtual machines to Azure Arc and verify connectivity; Configure monitoring for Arc-enabled servers using Azure Monitor Agent and VM Insights; Apply governance and compliance controls with Machine Configuration policies; Strengthen security posture by leveraging Microsoft Defender for Cloud recommendations; Enable auto-upgrade for the Azure Arc agent","Azure Arc; Azure Monitor Agent; VM Insights; Azure Policy Machine Configuration; Microsoft Defender for Cloud; Microsoft Learn MCP Server; VS Code",""
"Migrating and modernizing a Linux application stack with PostgreSQL on Azure using Azure Migrate and infrastructure as code","LAB505: Fast track your Linux and PostgreSQL migration with Azure Migrate","LAB505: Azure Migrate로 Linux 및 PostgreSQL 마이그레이션을 빠르게 진행하기","https://github.com/microsoft/ignite25-LAB505-fast-track-your-linux-and-postgresql-migration-with-azure-migrate","Azure;Migration;Data;DevOps","Learn how to seamlessly modernize a Linux application stack in Azure. Participants will step through the migration process using a Linux/Postgres/Java application and use infrastructure as code (IaC) to scale migrations.","Azure에서 Linux 애플리케이션 스택을 원활하게 현대화하는 방법을 학습합니다. 참가자는 Linux/Postgres/Java 애플리케이션을 사용하여 마이그레이션 프로세스를 단계별로 진행하고, 대규모 마이그레이션을 위해 infrastructure as code(IaC)를 활용합니다.","Step through the end-to-end migration process for a Linux/Postgres/Java application to Azure; Modernize a Linux application stack on Azure; Use infrastructure as code (IaC) to scale migration efforts","","Azure;Azure Migrate;Linux;PostgreSQL;Java;Infrastructure as Code (IaC);Microsoft Learn MCP Server;GitHub Copilot;VS Code",""
"Migration and modernization of Windows Server, SQL Server, and .NET workloads to Azure","LAB506: Migrate and Modernize Windows and SQL Server Workloads to Azure","LAB506: Windows 및 SQL Server 워크로드를 Azure로 마이그레이션 및 현대화","https://github.com/microsoft/ignite25-LAB506-migrate-and-modernize-windows-and-sql-server-workloads-to-azure","Azure;Migration;Data;Security","This lab focuses on migrating and modernizing Windows Server, SQL Server, and .NET applications to Azure. Participants learn how to assess and migrate workloads using Azure Migrate and Azure Database Migration Service (DMS). It covers discovery, dependency mapping, migration execution, and post-migration optimization, and includes securing workloads after migration with Microsoft Defender for Cloud.","이 랩은 Windows Server, SQL Server 및 .NET 애플리케이션을 Azure로 마이그레이션하고 현대화하는 방법에 중점을 둡니다. 참가자는 Azure Migrate와 Azure Database Migration Service(DMS)를 사용하여 워크로드를 평가하고 마이그레이션하는 방법을 학습합니다. 또한 디스커버리, 종속성 매핑, 마이그레이션 실행, 마이그레이션 후 최적화를 다루며, Microsoft Defender for Cloud를 활용한 마이그레이션 이후 워크로드 보안 강화도 포함합니다.","Assess Windows Server and SQL Server workloads for migration; perform discovery and dependency mapping; execute migrations using Azure Migrate and Azure Database Migration Service (DMS); optimize workloads after migration; secure migrated workloads using Microsoft Defender for Cloud.","Discovery;Dependency mapping;Migration execution;Post-migration optimization;Post-migration security with Microsoft Defender for Cloud","Azure;Windows Server;SQL Server;.NET;Azure Migrate;Azure Database Migration Service (DMS);Microsoft Defender for Cloud",""
"Resiliency for mission critical applications and infrastructure using Azure Operations Center and related resiliency, backup, and configuration capabilities.","LAB520: Start, Get, and Stay Resilient for your mission critical applications and infrastructure in Azure's operations platform.","LAB520: Azure 운영 플랫폼에서 미션 크리티컬 애플리케이션 및 인프라를 위한 복원력 시작, 강화, 지속하기","https://github.com/microsoft/ignite25-LAB520-start-get-and-stay-resilient-with-azure","Azure;Security;Governance;Compliance;Data","This lab walks through the “Start, Get, and Stay Resilient” journey for architecting mission critical applications using Azure’s resiliency and configuration experiences. Participants assess resiliency posture, apply recommendations, validate improvements, and orchestrate recovery. It also introduces the Operations Center Essentials Machine Management bundle to manage resource state, enforce configurations across devices, and maintain ongoing resilience.","이 랩은 Azure의 복원력 및 구성(Configuration) 경험을 활용하여 미션 크리티컬 애플리케이션을 설계하기 위한 “Start, Get, and Stay Resilient” 여정을 다룹니다. 참가자는 복원력 상태를 평가하고 권장 사항을 적용하여 개선 사항을 검증하며 복구를 오케스트레이션합니다. 또한 Operations Center의 Essentials Machine Management 번들을 통해 리소스 상태를 관리하고 디바이스 전반에 구성을 강제하여 복원력을 일회성 목표가 아닌 지속적인 상태로 유지하는 방법을 학습합니다.","Create application-aware service groups and assign resiliency goals aligned to business objectives; evaluate and improve resiliency posture by deploying recommendations and addressing architectural drift using Copilot; apply baseline configuration recommendations and enforce policies to keep infrastructure in the expected, compliant state.","Exercise 0: Onboarding to Operations Center Essentials Machine Management; Exercise 1: Data Resiliency - Resource-Level Protection (Task 1: Create a Backup Policy; Task 2: Create Vaulted Backup for Blob); Exercise 2: Infra Resiliency (Task 1: Create a Service Group for ClaimsApp; Task 2: Assign Resiliency Goals & Review Posture; Task 3: Action on Resiliency Recommendations to Make ClaimsApp Zonally Resilient; Run the Script in Azure PowerShell)","Azure Operations Center; Azure Resiliency; Azure Backup; Azure Policy; Azure Machine Configuration; Azure Update Manager; Change Tracking and Inventory; Azure Monitor (Monitoring workspace); Log Analytics workspace; Azure Cloud Shell; Azure PowerShell; Azure Advisor; Copilot; Azure Storage (Azure Blobs); Azure Virtual Machines; Azure Database for PostgreSQL flexible server; Application Gateway; Load Balancer; Managed Identity","Access to the provided lab environment and Azure credentials (available in the lab Resources tab); ability to use the Azure portal and navigate Operations Center; ability to run scripts using Azure Cloud Shell (PowerShell) with the provided subscription."
"Geospatial intelligence with satellite and aerial imagery using Microsoft Planetary Computer Pro and Azure Databricks","LAB597: Make More Informed Decisions with Geospatial Intelligence","LAB597: 지리공간 인텔리전스로 더 정보에 기반한 의사결정하기","https://github.com/microsoft/ignite25-LAB597-make-more-informed-decisions-with-geospatial-intelligence","Azure;Data;Analytics;AI","This hands-on lab teaches participants how to leverage geospatial intelligence using Microsoft Planetary Computer Pro. Learners work with real-world data to analyze Phoenix school campuses by measuring land-surface temperature and vegetation coverage using satellite imagery and aerial photography. The lab demonstrates how enterprise geospatial data and analysis can support informed decision-making across industries.","이 실습형 랩에서는 Microsoft Planetary Computer Pro를 사용하여 지리공간 인텔리전스를 활용하는 방법을 학습합니다. 참가자는 실제 데이터를 기반으로 위성 영상과 항공 사진을 활용해 피닉스 지역 학교 캠퍼스를 분석하고, 지표면 온도와 식생 피복을 측정합니다. 또한 엔터프라이즈 지리공간 데이터와 분석이 다양한 산업에서 더 정보에 기반한 의사결정을 어떻게 지원하는지 확인합니다.","Work with enterprise geospatial datasets through Microsoft Planetary Computer Pro; analyze satellite and aerial imagery to extract insights; compute vegetation indices (NDVI) and land-surface temperature from remote sensing data; scale geospatial analysis workflows using Azure Databricks; apply geospatial intelligence principles to real-world decision-making scenarios.","","Microsoft Planetary Computer Pro; Azure Databricks; NAIP (National Agriculture Imagery Program) aerial imagery; Landsat Collection 2 Level 2 thermal imagery; Python; GeoPandas; Rasterio; Xarray","No prerequisites required. At Ignite, a virtual environment with all prerequisites and required accounts is provided; to run outside Ignite, follow the setup instructions in ./lab/README.md."
"Modernizing an IT estate through portfolio transformation using migration and modernization strategies with Azure and GitHub Copilot","PREL20: Modernize IT Estate: From Strategy to Execution - A Hands-On Workshop for Portfolio Transformation","PREL20: IT 자산 현대화: 전략에서 실행까지 - 포트폴리오 전환을 위한 실습 워크숍","https://github.com/microsoft/ignite25-PREL20-modernize-it-estate-a-hands-on-workshop-for-portfolio-transformation","Azure;Migration;DevOps;Copilot;Governance","This hands-on workshop for IT leaders and practitioners focuses on modernizing the IT estate from strategy to execution. Participants learn and apply the six key migration and modernization strategies—Retire, Rehost, Replatform, Refactor, Rearchitect, and Rebuild—through practical exercises and real-world case studies. The session demonstrates how to leverage Azure and GitHub Copilot for rapid, secure, and cost-effective modernization, enabling migration at scale, cost optimization, and alignment with business goals. Attendees leave with actionable methodologies and AI-powered tooling insights to accelerate cloud adoption and improve agility.","이 실습 워크숍은 IT 리더와 실무자를 대상으로, 전략 수립부터 실행까지 IT 자산을 현대화하는 방법에 초점을 맞춥니다. 참가자는 실습과 실제 사례 연구를 통해 6가지 핵심 마이그레이션 및 현대화 전략(Retire, Rehost, Replatform, Refactor, Rearchitect, Rebuild)을 학습하고 적용합니다. 또한 Azure와 GitHub Copilot을 활용해 빠르고 안전하며 비용 효율적으로 현대화를 수행하는 방법을 시연하며, 대규모 마이그레이션의 효율화, 비용 최적화, 비즈니스 목표와의 정렬을 지원합니다. 참가자는 클라우드 도입을 가속하고 민첩성을 향상시키기 위한 실행 가능한 방법론과 AI 기반 도구 활용 인사이트를 얻습니다.","Understand and apply the six migration/modernization strategies (Retire, Rehost, Replatform, Refactor, Rearchitect, Rebuild); gain hands-on experience planning and executing cloud migration using Azure and GitHub Copilot; learn approaches to cost optimization, security improvement, and modernization acceleration with AI-powered tools; build a business case for modernization including ROI and operational benefits; review real-world success stories to inform future-ready IT strategy.","Six migration and modernization strategies (Retire; Rehost; Replatform; Refactor; Rearchitect; Rebuild); practical exercises; real-world case studies; cloud migration planning and execution using Azure and GitHub Copilot; cost optimization and security considerations; business case/ROI development; success stories review","Microsoft Azure; Azure Migrate; GitHub Copilot; Visual Studio; Visual Studio Code",""
